Gulliver's Travels [2010];Adventure/
The Arctic Giant [1942];Animation/Based On/Comics/DC/
The Batman Superman Movie: World's Finest [1997];Animation/Based On/Comics/DC/
The Batman vs Dracula: The Animated Movie [2005];Animation/Based On/Comics/DC/
The Bulleteers [1942];Animation/Based On/Comics/DC/
The Death and Return of Superman [2019];Animation/Based On/Comics/DC/
The Death of Superman [2018];Animation/Based On/Comics/DC/
The LEGO Batman Movie [2017];Animation/Based On/Comics/DC/
The Lego Movie [2014];Animation/Based On/Comics/DC/
The Magnetic Telescope [1942];Animation/Based On/Comics/DC/
The Mechanical Monsters [1941];Animation/Based On/Comics/DC/
The Mummy Strikes [1943];Animation/Based On/Comics/DC/
The Underground World [1943];Animation/Based On/Comics/DC/
Vixen: The Movie [2017];Animation/Based On/Comics/DC/
Volcano [1942];Animation/Based On/Comics/DC/
Wonder Woman [2009];Animation/Based On/Comics/DC/
Wonder Woman: Bloodlines [2019];Animation/Based On/Comics/DC/
Avengers Confidential: Black Widow & Punisher [2014];Animation/Based On/Comics/Marvel/
Doctor Strange [2007];Animation/Based On/Comics/Marvel/
Hulk Vs. [2009];Animation/Based On/Comics/Marvel/
Iron Man & Captain America: Heroes United [2014];Animation/Based On/Comics/Marvel/
Iron Man & Hulk: Heroes United [2013];Animation/Based On/Comics/Marvel/
Iron Man: Rise of Technovore [2013];Animation/Based On/Comics/Marvel/
Marvel Rising: Secret Warriors [2018];Animation/Based On/Comics/Marvel/
Marvel Super Hero Adventures: Frost Fight! [2015];Animation/Based On/Comics/Marvel/
Marvel's Avengers Assemble [2013];Animation/Based On/Comics/Marvel/
Next Avengers: Heroes of Tomorrow [2008];Animation/Based On/Comics/Marvel/
Planet Hulk [2010];Animation/Based On/Comics/Marvel/
The Invincible Iron Man [2007];Animation/Based On/Comics/Marvel/
Thor: Tales of Asgard [2011];Animation/Based On/Comics/Marvel/
Ultimate Avengers [2006];Animation/Based On/Comics/Marvel/
Ultimate Avengers II [2006];Animation/Based On/Comics/Marvel/
Aquaman [2018];Based on/Comic Books/DC/
Batman [1966];Based on/Comic Books/DC/
Batman [1989];Based on/Comic Books/DC/
Batman & Robin [1997];Based on/Comic Books/DC/
Batman Begins [2005];Based on/Comic Books/DC/
Batman Forever [1995];Based on/Comic Books/DC/
