Gulliver's Travels [2010];Adventure/
The Toxic Avenger Part III: The Last Temptation of Toxie [1989];Comedy/Comedy Horror/
The Toxic Avenger, Part II [1989];Comedy/Comedy Horror/
The Vagrant [1992];Comedy/Comedy Horror/
They Live [1988];Comedy/Comedy Horror/
Thursday the 12th [1982];Comedy/Comedy Horror/
To Catch A Virgin Ghost [2004];Comedy/Comedy Horror/
Tormented [2009];Comedy/Comedy Horror/
Trailer Park of Terror [2008];Comedy/Comedy Horror/
Tremors [1990];Comedy/Comedy Horror/
Tremors 3: Back to Perfection [2001];Comedy/Comedy Horror/
Tremors 4: The Legend Begins [2004];Comedy/Comedy Horror/
Tremors II: Aftershocks [1996];Comedy/Comedy Horror/
Trick 'r Treat [2007];Comedy/Comedy Horror/
Tucker & Dale vs. Evil [2010];Comedy/Comedy Horror/
Undead [2003];Comedy/Comedy Horror/
Vamp [1986];Comedy/Comedy Horror/
Vampire in Brooklyn [1995];Comedy/Comedy Horror/
Warm Bodies [2013];Comedy/Comedy Horror/
Waxwork [1988];Comedy/Comedy Horror/
What We Do in the Shadows [2014];Comedy/Comedy Horror/
Where Got Ghost? [2009];Comedy/Comedy Horror/
Wishmaster [1997];Comedy/Comedy Horror/
Woodchipper Massacre [1988];Comedy/Comedy Horror/
Xia dao xiao [2009];Comedy/Comedy Horror/
Yakuza Horror Theater [2003];Comedy/Comedy Horror/
Young Frankenstein [1974];Comedy/Comedy Horror/
Zombeavers [2014];Comedy/Comedy Horror/
Zombie Cheerleader Camp [2007];Comedy/Comedy Horror/
Zombie Cheerleading Camp [2007];Comedy/Comedy Horror/
Zombie Strippers [2008];Comedy/Comedy Horror/
Zombieland [2009];Comedy/Comedy Horror/
Zombies on Broadway [1945];Comedy/Comedy Horror/
12 Monkeys [1995];Comedy/Dark Comedies/
A Clockwork Orange [1971];Comedy/Dark Comedies/
A Scanner Darkly [2006];Comedy/Dark Comedies/
A Serious Man [2009];Comedy/Dark Comedies/
A Shock to the System [1990];Comedy/Dark Comedies/
Adaptation. [2002];Comedy/Dark Comedies/
American Beauty [1999];Comedy/Dark Comedies/
American Psycho [2000];Comedy/Dark Comedies/
Art School Confidential [2006];Comedy/Dark Comedies/
Bad Santa [2003];Comedy/Dark Comedies/
Barking Dogs Never Bite [2000];Comedy/Dark Comedies/
Barton Fink [1991];Comedy/Dark Comedies/
Being John Malkovich [1999];Comedy/Dark Comedies/
Bottle Rocket [1996];Comedy/Dark Comedies/
Brazil [1985];Comedy/Dark Comedies/
Bug [2006];Comedy/Dark Comedies/
Burn After Reading [2008];Comedy/Dark Comedies/
C'est arrivé près de chez vous [1992];Comedy/Dark Comedies/
Choyonghan kajok [1998];Comedy/Dark Comedies/
Death to Smoochy [2002];Comedy/Dark Comedies/
Delicatessen [1991];Comedy/Dark Comedies/
Dogma [1999];Comedy/Dark Comedies/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb [1964];Comedy/Dark Comedies/
Election [1999];Comedy/Dark Comedies/
Eternal Sunshine of the Spotless Mind [2004];Comedy/Dark Comedies/
Fargo [1996];Comedy/Dark Comedies/
Fear and Loathing in Las Vegas [1998];Comedy/Dark Comedies/
Fido [2006];Comedy/Dark Comedies/
Flandersui gae [2000];Comedy/Dark Comedies/
Full Metal Jacket [1987];Comedy/Dark Comedies/
Ghost World [2001];Comedy/Dark Comedies/
Goodfellas [1990];Comedy/Dark Comedies/
Happiness [1998];Comedy/Dark Comedies/
Harold and Maude [1971];Comedy/Dark Comedies/
Heathers [1988];Comedy/Dark Comedies/
Hobo with a Shotgun [2011];Comedy/Dark Comedies/
Hot Fuzz [2007];Comedy/Dark Comedies/
In Bruges [2008];Comedy/Dark Comedies/
Inglourious Basterds [2009];Comedy/Dark Comedies/
Intolerable Cruelty [2003];Comedy/Dark Comedies/
Killer Joe [2011];Comedy/Dark Comedies/
Kind Hearts and Coronets [1949];Comedy/Dark Comedies/
Lars and the Real Girl [2007];Comedy/Dark Comedies/
Man Bites Dog [1992];Comedy/Dark Comedies/
Observe and Report [2009];Comedy/Dark Comedies/
Office Space [1999];Comedy/Dark Comedies/
Parents [1989];Comedy/Dark Comedies/
Pulp Fiction [1994];Comedy/Dark Comedies/
Reservoir Dogs [1992];Comedy/Dark Comedies/
Rushmore [1998];Comedy/Dark Comedies/
Seven Psychopaths [2012];Comedy/Dark Comedies/
Sightseers [2012];Comedy/Dark Comedies/
Skeletons [2010];Comedy/Dark Comedies/
Snatch. [2000];Comedy/Dark Comedies/
Storytelling [2001];Comedy/Dark Comedies/
Swimming with Sharks [1994];Comedy/Dark Comedies/
Tenure [2009];Comedy/Dark Comedies/
The Big Kahuna [1999];Comedy/Dark Comedies/
The Cable Guy [1996];Comedy/Dark Comedies/
The Darjeeling Limited [2007];Comedy/Dark Comedies/
The Fisher King [1991];Comedy/Dark Comedies/
The Guard [2011];Comedy/Dark Comedies/
The Ladykillers [1955];Comedy/Dark Comedies/
The Life Aquatic with Steve Zissou [2004];Comedy/Dark Comedies/
The Quiet Family [1998];Comedy/Dark Comedies/
The Ref [1994];Comedy/Dark Comedies/
The Royal Tenenbaums [2001];Comedy/Dark Comedies/
The Savages [2007];Comedy/Dark Comedies/
The Voices [2014];Comedy/Dark Comedies/
The Young Poisoner's Handbook [1995];Comedy/Dark Comedies/
Three Kings [1999];Comedy/Dark Comedies/
Trainspotting [1996];Comedy/Dark Comedies/
Twelve Monkeys [1995];Comedy/Dark Comedies/
Vampire's Kiss [1988];Comedy/Dark Comedies/
Very Bad Things [1998];Comedy/Dark Comedies/
Waydowntown [2000];Comedy/Dark Comedies/
Welcome to the Dollhouse [1995];Comedy/Dark Comedies/
World's Greatest Dad [2009];Comedy/Dark Comedies/
Ernest Goes to Africa [1997];Comedy/Ernest P. Worrell/
Ernest Goes to Camp [1987];Comedy/Ernest P. Worrell/
Ernest Goes to Jail [1990];Comedy/Ernest P. Worrell/
Ernest Goes to School [1994];Comedy/Ernest P. Worrell/
Ernest Goes to Splash Mountain [1989];Comedy/Ernest P. Worrell/
Ernest in the Army [1998];Comedy/Ernest P. Worrell/
Ernest Rides Again [1993];Comedy/Ernest P. Worrell/
Ernest Saves Christmas [1988];Comedy/Ernest P. Worrell/
Ernest Scared Stupid [1991];Comedy/Ernest P. Worrell/
Knowhutimean? Hey Vern, It's My Family Album [1983];Comedy/Ernest P. Worrell/
Slam Dunk Ernest [1995];Comedy/Ernest P. Worrell/
The Ernest Film Festival [1986];Comedy/Ernest P. Worrell/
Your World as I See It [1994];Comedy/Ernest P. Worrell/
Adam and Eve [2005];Comedy/National Lampoon/
After School Special [2003];Comedy/National Lampoon/
American Adventure [2000];Comedy/National Lampoon/
Animal House [1978];Comedy/National Lampoon/
Attack of the 5 Ft. 2 Women [1994];Comedy/National Lampoon/
Barely Legal [2003];Comedy/National Lampoon/
Blackball [2003];Comedy/National Lampoon/
Boobies [2005];Comedy/National Lampoon/
Cattle Call [2006];Comedy/National Lampoon/
Class of '86 [1986];Comedy/National Lampoon/
Class Reunion [1982];Comedy/National Lampoon/
Dad's Week Off [1997];Comedy/National Lampoon/
Dirty Movie [2011];Comedy/National Lampoon/
Dirty Politics [2009];Comedy/National Lampoon/
Disco Beaver from Outer Space [1978];Comedy/National Lampoon/
Dorm Daze 2 [2006];Comedy/National Lampoon/
Dracula's Daughters vs. the Space Brains [2010];Comedy/National Lampoon/
Electric Apricot [2006];Comedy/National Lampoon/
European Vacation [1985];Comedy/National Lampoon/
Favorite Deadly Sins [1995];Comedy/National Lampoon/
Going the Distance [2004];Comedy/National Lampoon/
Golf Punks [1998];Comedy/National Lampoon/
Gordo's Road Show [2004];Comedy/National Lampoon/
Hard Four [2007];Comedy/National Lampoon/
Homo Erectus [2007];Comedy/National Lampoon/
Jake's Booty Call [2003];Comedy/National Lampoon/
Joy of Sex [1984];Comedy/National Lampoon/
Lady Killers [2003];Comedy/National Lampoon/
Last Resort [1994];Comedy/National Lampoon/
Lemmings [1973];Comedy/National Lampoon/
Loaded Weapon 1 [1993];Comedy/National Lampoon/
Lost Reality [2004];Comedy/National Lampoon/
National Lampoon Presents Dorm Daze [2003];Comedy/National Lampoon/
National Lampoon Presents Endless Bummer [2009];Comedy/National Lampoon/
National Lampoon's Bag Boy [2007];Comedy/National Lampoon/
National Lampoon's Cattle Call [2006];Comedy/National Lampoon/
National Lampoon's Christmas Vacation [1989];Comedy/National Lampoon/
National Lampoon's Christmas Vacation 2: Cousin Eddie's Island Adventure [2003];Comedy/National Lampoon/
National Lampoon's Class Reunion [1982];Comedy/National Lampoon/
National Lampoon's Gold Diggers [2003];Comedy/National Lampoon/
National Lampoon's Lost Reality 2: More of the Worst [2005];Comedy/National Lampoon/
National Lampoon's Men in White [1998];Comedy/National Lampoon/
National Lampoon's Movie Madness [1982];Comedy/National Lampoon/
National Lampoon's Senior Trip [1995];Comedy/National Lampoon/
National Lampoon's Stoned Age [2007];Comedy/National Lampoon/
National Lampoon's Vacation [1983];Comedy/National Lampoon/
Night of the Little Dead [2011];Comedy/National Lampoon/
O.C. and Stiggs [1985];Comedy/National Lampoon/
One, Two, Many [2008];Comedy/National Lampoon/
Pledge This! [2006];Comedy/National Lampoon/
Professor Pepper's School of Good Stuff [2006];Comedy/National Lampoon/
Pucked [2006];Comedy/National Lampoon/
Ratko: The Dictator's Son [2009];Comedy/National Lampoon/
Repli-Kate [2002];Comedy/National Lampoon/
RoboDoc [2009];Comedy/National Lampoon/
Senior Trip [1995];Comedy/National Lampoon/
Sex Tax: Based on a True Story [2010];Comedy/National Lampoon/
Snatched [2011];Comedy/National Lampoon/
Strip Poker [2005];Comedy/National Lampoon/
Surf Party [2009];Comedy/National Lampoon/
Teed Off [2005];Comedy/National Lampoon/
Teed Off Too [2006];Comedy/National Lampoon/
Thanksgiving Family Reunion [2003];Comedy/National Lampoon/
The Almost Guys [2004];Comedy/National Lampoon/
The Beach Party at the Threshold of Hell [2006];Comedy/National Lampoon/
The Don's Analyst [1997];Comedy/National Lampoon/
The Guys [1996];Comedy/National Lampoon/
The Legend of Awesomest Maximus [2010];Comedy/National Lampoon/
The Pom Pom Massacre;Comedy/National Lampoon/
Totally Baked: A Pot-U-Mentary [2007];Comedy/National Lampoon/
Transylmania [2009];Comedy/National Lampoon/
True Facts [1992];Comedy/National Lampoon/
TV: The Movie [2006];Comedy/National Lampoon/
Van Wilder [2002];Comedy/National Lampoon/
Van Wilder 2: The Rise of Taj [2006];Comedy/National Lampoon/
Van Wilder: Freshman Year [2009];Comedy/National Lampoon/
Vegas Vacation [1997];Comedy/National Lampoon/
Wannabes [2006];Comedy/National Lampoon/
18 Fingers of Death! [2006];Comedy/Parodies/
2001: A Space Travesty [2000];Comedy/Parodies/
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo [2013];Comedy/Parodies/
7 Days in Hell [2015];Comedy/Parodies/
A Man Called Sarge [1990];Comedy/Parodies/
A Mighty Wind [2003];Comedy/Parodies/
A Million Ways to Die in the West [2014];Comedy/Parodies/
A.R.O.G. [2008];Comedy/Parodies/
Abbott and Costello Meet Dr. Jekyll and Mr. Hyde [1953];Comedy/Parodies/
Abbott and Costello Meet the Invisible Man [1951];Comedy/Parodies/
Abbott and Costello Meet the Keystone Kops [1955];Comedy/Parodies/
Abbott and Costello Meet the Killer, Boris Karloff [1949];Comedy/Parodies/
Agent 000 and The Deadly Curves [1983];Comedy/Parodies/
Agentti 000 ja kuoleman kurvit [1983];Comedy/Parodies/
Airplane II: The Sequel [1982];Comedy/Parodies/
Airplane! [1980];Comedy/Parodies/
Alien Trespass [2009];Comedy/Parodies/
American Raspberry [1977];Comedy/Parodies/
An American Carol [2008];Comedy/Parodies/
Another Gay Movie [2006];Comedy/Parodies/
Another Gay Sequel: Gays Gone Wild! [2008];Comedy/Parodies/
Attack of the 60 Foot Centerfold [1995];Comedy/Parodies/
Austin Powers in Goldmember [2002];Comedy/Parodies/
Austin Powers: International Man of Mystery [1997];Comedy/Parodies/
Austin Powers: The Spy Who Shagged Me [1999];Comedy/Parodies/
Back to the Beach [1987];Comedy/Parodies/
Beat the Devil [1953];Comedy/Parodies/
Being Ron Jeremy [2003];Comedy/Parodies/
Best in Show [2000];Comedy/Parodies/
Bikini Bloodbath [2006];Comedy/Parodies/
Black Dynamite [2009];Comedy/Parodies/
Blankman [1994];Comedy/Parodies/
Blazing Saddles [1974];Comedy/Parodies/
Bowfinger [1999];Comedy/Parodies/
Breaking Wind [2011];Comedy/Parodies/
Britain's Got the Pop Factor... and Possibly a New Celebrity Jesus Christ Soapstar Superstar Strictly on Ice [2008];Comedy/Parodies/
Bud Abbott Lou Costello Meet Frankenstein [1948];Comedy/Parodies/
Bullshot [1983];Comedy/Parodies/
Bullshot Crummond [1983];Comedy/Parodies/
Caddyshack [1980];Comedy/Parodies/
Caddyshack II [1988];Comedy/Parodies/
Carry on Cleo [1964];Comedy/Parodies/
Carry on Columbus [1992];Comedy/Parodies/
Carry on Cowboy [1966];Comedy/Parodies/
Carry on Spying [1964];Comedy/Parodies/
Carry On... Don't Lose Your Head [1966];Comedy/Parodies/
Casino Royale [1967];Comedy/Parodies/
CB4 [1993];Comedy/Parodies/
Chilly Beach: The World Is Hot Enough [2008];Comedy/Parodies/
Copa de Elite [2014];Comedy/Parodies/
Creature from the Haunted Sea [1961];Comedy/Parodies/
Dance Flick [2009];Comedy/Parodies/
Dark and Stormy Night [2009];Comedy/Parodies/
Dark Star [1974];Comedy/Parodies/
Date Movie [2006];Comedy/Parodies/
Dead Men Don't Wear Plaid [1982];Comedy/Parodies/
Disaster Movie [2008];Comedy/Parodies/
Disorganized Crime [1989];Comedy/Parodies/
Don't Be a Menace to South Central While Drinking Your Juice in the Hood [1996];Comedy/Parodies/
Down with Love [2003];Comedy/Parodies/
Dracula: Dead and Loving It [1995];Comedy/Parodies/
Dragnet [1987];Comedy/Parodies/
Eat and Run [1986];Comedy/Parodies/
El agente 00-P2 [2009];Comedy/Parodies/
Epic Movie [2007];Comedy/Parodies/
Evil Toons [1992];Comedy/Parodies/
Extreme Movie [2008];Comedy/Parodies/
Farce of the Penguins [2006];Comedy/Parodies/
Fatal Instinct [1993];Comedy/Parodies/
Fifty Shades of Black [2016];Comedy/Parodies/
Flesh Gordon [1974];Comedy/Parodies/
Flesh Gordon 2: Meets the Cosmic Cheerleaders [1990];Comedy/Parodies/
For a Few Dollars Less [1966];Comedy/Parodies/
Freak Out [2004];Comedy/Parodies/
Freaked [1993];Comedy/Parodies/
G-Sale [2003];Comedy/Parodies/
Galaxina [1980];Comedy/Parodies/
Galaxy Quest [1999];Comedy/Parodies/
George of the Jungle 2 [2003];Comedy/Parodies/
Hardware Wars [1978];Comedy/Parodies/
High Anxiety [1977];Comedy/Parodies/
High School High [1996];Comedy/Parodies/
History of the World: Part I [1981];Comedy/Parodies/
Hollywood Shuffle [1987];Comedy/Parodies/
Hot Shots! [1991];Comedy/Parodies/
Hot Shots! Part Deux [1993];Comedy/Parodies/
I Am Virgin [2010];Comedy/Parodies/
I'm Gonna Git You Sucka [1988];Comedy/Parodies/
If Looks Could Kill [1991];Comedy/Parodies/
Il silenzio dei prosciutti [1994];Comedy/Parodies/
Imaginary Movie [2015];Comedy/Parodies/
InAPPropriate Comedy [2013];Comedy/Parodies/
It's a Great Feeling [1949];Comedy/Parodies/
Jack and the Beanstalk [1952];Comedy/Parodies/
Jane Austen's Mafia! [1998];Comedy/Parodies/
Johnny Dangerously [1984];Comedy/Parodies/
Johnny English [2003];Comedy/Parodies/
Johnny English Reborn [2011];Comedy/Parodies/
Johnny English Strikes Again [2018];Comedy/Parodies/
Kill Buljo 2 [2013];Comedy/Parodies/
Kill Buljo: The Movie [2007];Comedy/Parodies/
Killer Tomatoes Eat France! [1992];Comedy/Parodies/
Killer Tomatoes Strike Back! [1991];Comedy/Parodies/
Kung fu [2004];Comedy/Parodies/
Kung Fu Hustle [2004];Comedy/Parodies/
Kung Pow: Enter the Fist [2002];Comedy/Parodies/
Land of the Lost [2009];Comedy/Parodies/
Last Action Hero [1993];Comedy/Parodies/
Leonard Part 6 [1987];Comedy/Parodies/
Liang Po Po chong chu jiang hu [1999];Comedy/Parodies/
Life of Brian [1979];Comedy/Parodies/
Lobster Man From Mars [1989];Comedy/Parodies/
Love and Death [1975];Comedy/Parodies/
Love at Stake [1987];Comedy/Parodies/
MacGruber [2010];Comedy/Parodies/
Mafia! [1998];Comedy/Parodies/
Man of the Year [2006];Comedy/Parodies/
Mars Attacks! [1996];Comedy/Parodies/
Meet the Blacks [2016];Comedy/Parodies/
Meet the Spartans [2008];Comedy/Parodies/
Mob Boss [1990];Comedy/Parodies/
Monty Python and the Holy Grail [1975];Comedy/Parodies/
Monty Python's Life of Brian [1979];Comedy/Parodies/
Monty Python's The Meaning of Life [1983];Comedy/Parodies/
Mother May I Dance with Mary Janes Fist: A Lifetone Original Movie for Adult Swim [2018];Comedy/Parodies/
Movie 43 [2013];Comedy/Parodies/
Murder by Death [1976];Comedy/Parodies/
Murder Can Hurt You! [1980];Comedy/Parodies/
My Big Fat Independent Movie [2005];Comedy/Parodies/
Naked Gun 33 1/3: The Final Insult [1994];Comedy/Parodies/
Naked Space [1983];Comedy/Parodies/
Not Another Celebrity Movie [2013];Comedy/Parodies/
Not Another Not Another Movie [2011];Comedy/Parodies/
Not Another Teen Movie [2001];Comedy/Parodies/
Old Dracula [1974];Comedy/Parodies/
Our Man Flint [1966];Comedy/Parodies/
Paranormal Whacktivity [2012];Comedy/Parodies/
Parody Movie [2009];Comedy/Parodies/
Per qualche dollaro in meno [1966];Comedy/Parodies/
Plump Fiction [1997];Comedy/Parodies/
Prime Time [1977];Comedy/Parodies/
Queen Kong [1976];Comedy/Parodies/
Radioactive Dreams [1985];Comedy/Parodies/
Reality Check [2002];Comedy/Parodies/
Repossessed [1990];Comedy/Parodies/
Reservoir Cats [2011];Comedy/Parodies/
Ricky 1 [1988];Comedy/Parodies/
Robin Hood: Men in Tights [1993];Comedy/Parodies/
Rocky VI [1986];Comedy/Parodies/
Rustlers' Rhapsody [1985];Comedy/Parodies/
Saturday the 14th [1981];Comedy/Parodies/
Scary Movie [2000];Comedy/Parodies/
Scary MoVie [2013];Comedy/Parodies/
Scary Movie 2 [2001];Comedy/Parodies/
Scary Movie 3 [2003];Comedy/Parodies/
Scary Movie 4 [2006];Comedy/Parodies/
Scary Movie 5 [2013];Comedy/Parodies/
Shaun of the Dead [2004];Comedy/Parodies/
Shrek [2001];Comedy/Parodies/
Shrek 2 [2004];Comedy/Parodies/
Shrek Forever After [2010];Comedy/Parodies/
Shrek the Third [2007];Comedy/Parodies/
Shriek If You Know What I Did Last Friday the 13th [2000];Comedy/Parodies/
Silence of the Hams [1992];Comedy/Parodies/
Silent Movie [1976];Comedy/Parodies/
Spaceballs [1987];Comedy/Parodies/
Spanish Movie [2009];Comedy/Parodies/
Spy Hard [1996];Comedy/Parodies/
Stan Helsing [2009];Comedy/Parodies/
Superfast! [2015];Comedy/Parodies/
Superhero Movie [2008];Comedy/Parodies/
Teen Agent [1991];Comedy/Parodies/
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It [2010];Comedy/Parodies/
The Adventure of Sherlock Holmes' Smarter Brother [1975];Comedy/Parodies/
The Ambushers [1967];Comedy/Parodies/
The Big Bus [1976];Comedy/Parodies/
The Black Bird [1975];Comedy/Parodies/
The Bogus Witch Project [2000];Comedy/Parodies/
The Boss [1990];Comedy/Parodies/
The Cheap Detective [1978];Comedy/Parodies/
The Comebacks [2007];Comedy/Parodies/
The Creature Wasn't Nice [1983];Comedy/Parodies/
The Dictator [2012];Comedy/Parodies/
The Freshman [1990];Comedy/Parodies/
The Great Race [1965];Comedy/Parodies/
The Groove Tube [1974];Comedy/Parodies/
The Hungover Games [2014];Comedy/Parodies/
The Kentucky Fried Movie [1977];Comedy/Parodies/
The Lost Skeleton of Cadavra [2001];Comedy/Parodies/
The Man with Two Brains [1983];Comedy/Parodies/
The Master of Disguise [2002];Comedy/Parodies/
The Meaning of Life [1983];Comedy/Parodies/
The Naked Gun 2½: The Smell of Fear [1991];Comedy/Parodies/
The Naked Gun: From the Files of Police Squad! [1988];Comedy/Parodies/
The Naked Truth [1993];Comedy/Parodies/
The Onion Movie [2008];Comedy/Parodies/
The Princess Bride [1987];Comedy/Parodies/
The Private Eyes [1980];Comedy/Parodies/
The Producers [1967];Comedy/Parodies/
The Producers [2005];Comedy/Parodies/
The Ridiculous 6 [2015];Comedy/Parodies/
The Silence of the Hams [1994];Comedy/Parodies/
The Starving Games [2013];Comedy/Parodies/
The Underground Comedy Movie [1999];Comedy/Parodies/
The Walking Deceased [2015];Comedy/Parodies/
The Woman Chaser [1999];Comedy/Parodies/
The World's End [2013];Comedy/Parodies/
The Zany Adventures of Robin Hood [1984];Comedy/Parodies/
This Is Spinal Tap [1984];Comedy/Parodies/
Three Ages [1923];Comedy/Parodies/
Tooken [2015];Comedy/Parodies/
Top Secret! [1984];Comedy/Parodies/
Transylvania Twist [1989];Comedy/Parodies/
Tropic Thunder [2008];Comedy/Parodies/
UHF [1989];Comedy/Parodies/
Under the Rainbow [1981];Comedy/Parodies/
Undercover Brother [2002];Comedy/Parodies/
Uptown Saturday Night [1974];Comedy/Parodies/
Vampira [1974];Comedy/Parodies/
Vampires Suck [2010];Comedy/Parodies/
Voyage of the Rock Aliens [1985];Comedy/Parodies/
Wacko [1982];Comedy/Parodies/
Walk Hard: The Dewey Cox Story [2007];Comedy/Parodies/
Walking with the Dead [2015];Comedy/Parodies/
Wet Hot American Summer [2001];Comedy/Parodies/
When Nature Calls [1985];Comedy/Parodies/
Wholly Moses! [1980];Comedy/Parodies/
Wrongfully Accused [1998];Comedy/Parodies/
Zorro, the Gay Blade [1981];Comedy/Parodies/
...All the Marbles [1981];Comedy/Sex Comedies/
#1 Cheerleader Camp [2010];Comedy/Sex Comedies/
10 [1979];Comedy/Sex Comedies/
10 Things I Hate About You [1999];Comedy/Sex Comedies/
100 Girls [2000];Comedy/Sex Comedies/
14 and Under [1973];Comedy/Sex Comedies/
17 Again [2009];Comedy/Sex Comedies/
18 Year Old Virgin [2009];Comedy/Sex Comedies/
21 & Over [2013];Comedy/Sex Comedies/
21 Jump Street [2012];Comedy/Sex Comedies/
22 Jump Street [2014];Comedy/Sex Comedies/
30 Minutes or Less [2011];Comedy/Sex Comedies/
40 Days and 40 Nights [2002];Comedy/Sex Comedies/
A Hole in My Panty [2011];Comedy/Sex Comedies/
A Night in Heaven [1983];Comedy/Sex Comedies/
A Night in the Life of Jimmy Reardon [1988];Comedy/Sex Comedies/
A Promise of Bed [1970];Comedy/Sex Comedies/
A Very Harold & Kumar 3D Christmas [2011];Comedy/Sex Comedies/
Accepted [2006];Comedy/Sex Comedies/
Adventureland [2009];Comedy/Sex Comedies/
Adventures of a Plumber's Mate [1978];Comedy/Sex Comedies/
Adventures of a Private Eye [1977];Comedy/Sex Comedies/
Adventures of a Taxi Driver [1976];Comedy/Sex Comedies/
Ahava Tzeira [1987];Comedy/Sex Comedies/
All American Orgy [2009];Comedy/Sex Comedies/
Alle Kätzchen naschen gern [1969];Comedy/Sex Comedies/
Alvin Purple [1973];Comedy/Sex Comedies/
Alvin Rides Again [1974];Comedy/Sex Comedies/
Amazon Women on the Moon [1987];Comedy/Sex Comedies/
American High School [2009];Comedy/Sex Comedies/
American Pie [1999];Comedy/Sex Comedies/
American Pie 2 [2001];Comedy/Sex Comedies/
American Pie Presents Band Camp [2005];Comedy/Sex Comedies/
American Pie Presents Beta House [2007];Comedy/Sex Comedies/
American Pie Presents: The Book of Love [2009];Comedy/Sex Comedies/
American Pie Presents: The Naked Mile [2006];Comedy/Sex Comedies/
American Reunion [2012];Comedy/Sex Comedies/
American Summer [2009];Comedy/Sex Comedies/
American Virgin [2009];Comedy/Sex Comedies/
American Virgins [2012];Comedy/Sex Comedies/
American Wedding [2003];Comedy/Sex Comedies/
Another Chance [1989];Comedy/Sex Comedies/
Ants in Pants [2000];Comedy/Sex Comedies/
Around the World with Fanny Hill [1974];Comedy/Sex Comedies/
Arrête ton char... bidasse! [1977];Comedy/Sex Comedies/
Au Pair Girls [1972];Comedy/Sex Comedies/
Auch Fummeln will gelernt sein [1972];Comedy/Sex Comedies/
Baby Love [1984];Comedy/Sex Comedies/
Babysitting [2014];Comedy/Sex Comedies/
Bachelor Party [1984];Comedy/Sex Comedies/
Bachelor Party 2: The Last Temptation [2008];Comedy/Sex Comedies/
Bachelor Party Vegas [2006];Comedy/Sex Comedies/
Bad Neighbours [2014];Comedy/Sex Comedies/
Bad Teacher [2011];Comedy/Sex Comedies/
Bademeister-Report [1973];Comedy/Sex Comedies/
Barely Legal [2011];Comedy/Sex Comedies/
Basic Training [1985];Comedy/Sex Comedies/
Beach Balls [1988];Comedy/Sex Comedies/
Beer League [2006];Comedy/Sex Comedies/
Bettkanonen [1973];Comedy/Sex Comedies/
Big Bad Mama II [1987];Comedy/Sex Comedies/
Bikini Spring Break [2012];Comedy/Sex Comedies/
Blame It on Rio [1984];Comedy/Sex Comedies/
Blue Mountain State: The Rise of Thadland [2016];Comedy/Sex Comedies/
Blutjunge Masseusen [1972];Comedy/Sex Comedies/
Boarding School [1978];Comedy/Sex Comedies/
Boat Trip [2002];Comedy/Sex Comedies/
Bohr weiter, Kumpel [1974];Comedy/Sex Comedies/
Boobs Volleyball [2009];Comedy/Sex Comedies/
C.O.D. [1981];Comedy/Sex Comedies/
C'est jeune et ça sait tout! [1974];Comedy/Sex Comedies/
Café solo o con ellas [2007];Comedy/Sex Comedies/
Can I Keep It Up for a Week? [1975];Comedy/Sex Comedies/
Can You Keep It Up for a Week? [1975];Comedy/Sex Comedies/
Can't Hardly Wait [1998];Comedy/Sex Comedies/
Candy [1968];Comedy/Sex Comedies/
Caroline chérie [1951];Comedy/Sex Comedies/
Carry on Abroad [1972];Comedy/Sex Comedies/
Carry on Behind [1975];Comedy/Sex Comedies/
Carry on Camping [1969];Comedy/Sex Comedies/
Carry on Dick [1974];Comedy/Sex Comedies/
Carry on Emmannuelle [1978];Comedy/Sex Comedies/
Carry on Girls [1973];Comedy/Sex Comedies/
Carry on Henry [1971];Comedy/Sex Comedies/
Carry on Matron [1972];Comedy/Sex Comedies/
Carry on Up the Jungle [1970];Comedy/Sex Comedies/
Casanova & Co. [1977];Comedy/Sex Comedies/
Casual Sex? [1988];Comedy/Sex Comedies/
Cavegirl [1985];Comedy/Sex Comedies/
Celebrity Sex Tape [2012];Comedy/Sex Comedies/
Charlys Nichten [1974];Comedy/Sex Comedies/
Che? [1972];Comedy/Sex Comedies/
Cheerleader's Wild Weekend [1979];Comedy/Sex Comedies/
Class [1983];Comedy/Sex Comedies/
Coach [1978];Comedy/Sex Comedies/
College [2008];Comedy/Sex Comedies/
Confessions from a Holiday Camp [1977];Comedy/Sex Comedies/
Confessions of a Driving Instructor [1976];Comedy/Sex Comedies/
Confessions of a Pop Performer [1975];Comedy/Sex Comedies/
Confessions of a Window Cleaner [1974];Comedy/Sex Comedies/
Cookies [1975];Comedy/Sex Comedies/
Cool It Carol! [1970];Comedy/Sex Comedies/
Cornetti alla crema [1981];Comedy/Sex Comedies/
Corporate Affairs [1990];Comedy/Sex Comedies/
Cougar Club [2007];Comedy/Sex Comedies/
Crazy Legs [1987];Comedy/Sex Comedies/
Cream Horn [1981];Comedy/Sex Comedies/
Cross My Heart [1987];Comedy/Sex Comedies/
Cummings Farm [2009];Comedy/Sex Comedies/
Das darf doch nicht wahr sein! [1973];Comedy/Sex Comedies/
Das Liebeskarussell [1965];Comedy/Sex Comedies/
Das Mädchen mit der heißen Masche [1972];Comedy/Sex Comedies/
