Judge Dredd [1995];[Action]
Oxford Blues [1984];[Teen Movies]
PCU [1994];[Teen Movies]
Permanent Record [1988];[Teen Movies]
Pick-up Summer [1980];[Teen Movies]
Pinball Summer [1980];[Teen Movies]
Pitch Perfect [2012];[Teen Movies]
Playing for Keeps [1986];[Teen Movies]
Pleasantville [1998];[Teen Movies]
Porky's [1982];[Teen Movies]
Powder [1995];[Teen Movies]
Pretty in Pink [1986];[Teen Movies]
Private Lessons [1981];[Teen Movies]
Private Resort [1985];[Teen Movies]
Private School [1983];[Teen Movies]
Pump Up the Volume [1990];[Teen Movies]
Raise Your Voice [2004];[Teen Movies]
Real Genius [1985];[Teen Movies]
Red Dawn [1984];[Teen Movies]
Revenge of the Nerds [1984];[Teen Movies]
Risky Business [1983];[Teen Movies]
River's Edge [1986];[Teen Movies]
Romeo + Juliet [1996];[Teen Movies]
Romy and Michele's High School Reunion [1997];[Teen Movies]
Rumble Fish [1983];[Teen Movies]
Running on Empty [1988];[Teen Movies]
Save the Last Dance [2001];[Teen Movies]
Saved! [2004];[Teen Movies]
Say Anything... [1989];[Teen Movies]
Screwballs [1983];[Teen Movies]
Screwballs II [1985];[Teen Movies]
Secret Admirer [1985];[Teen Movies]
Senior Trip [1981];[Teen Movies]
Senior Week [1987];[Teen Movies]
Seven Minutes in Heaven [1985];[Teen Movies]
She's All That [1999];[Teen Movies]
She's Out of Control [1989];[Teen Movies]
She's The Man [2006];[Teen Movies]
Show Me Love [1998];[Teen Movies]
Sixteen Candles [1984];[Teen Movies]
Some Girls [1988];[Teen Movies]
Some Kind of Wonderful [1987];[Teen Movies]
Soul Man [1986];[Teen Movies]
SpaceCamp [1986];[Teen Movies]
St. Elmo's Fire [1985];[Teen Movies]
Stand by Me [1986];[Teen Movies]
Step Up [2006];[Teen Movies]
Straight Out of Brooklyn [1991];[Teen Movies]
Student Exchange [1987];[Teen Movies]
Suburbia [1984];[Teen Movies]
SubUrbia [1996];[Teen Movies]
Summer School [1987];[Teen Movies]
Sydney White [2007];[Teen Movies]
Taps [1981];[Teen Movies]
Teaching Mrs. Tingle [1999];[Teen Movies]
Teen Wolf [1985];[Teen Movies]
The Allnighter [1987];[Teen Movies]
The Basketball Diaries [1995];[Teen Movies]
The Blue Lagoon [1980];[Teen Movies]
The Boys Club [1997];[Teen Movies]
The Breakfast Club [1985];[Teen Movies]
The Chocolate War [1988];[Teen Movies]
The Craft [1996];[Teen Movies]
The Curve [1998];[Teen Movies]
The Doom Generation [1995];[Teen Movies]
The Faculty [1998];[Teen Movies]
The Flamingo Kid [1984];[Teen Movies]
The Goonies [1985];[Teen Movies]
The Karate Kid [1984];[Teen Movies]
The Last American Virgin [1982];[Teen Movies]
The Legend of Billie Jean [1985];[Teen Movies]
The Lost Boys [1987];[Teen Movies]
The Outsiders [1983];[Teen Movies]
The Perfect Man [2005];[Teen Movies]
The Perks of Being a Wallflower [2012];[Teen Movies]
The Rage: Carrie 2 [1999];[Teen Movies]
The Secret of My Succe$s [1987];[Teen Movies]
The Secret of My Success [1987];[Teen Movies]
The Sisterhood of the Traveling Pants [2005];[Teen Movies]
The Sisterhood of the Traveling Pants 2 [2008];[Teen Movies]
The Sure Thing [1985];[Teen Movies]
The Virgin Suicides [1999];[Teen Movies]
The Wild Life [1984];[Teen Movies]
Thirteen [2003];[Teen Movies]
Thrashin' [1986];[Teen Movies]
Three O'Clock High [1987];[Teen Movies]
Totally Fucked Up [1993];[Teen Movies]
Trojan War [1997];[Teen Movies]
Trust [2010];[Teen Movies]
Twilight [2008];[Teen Movies]
Urban Legend [1998];[Teen Movies]
Valley Girl [1983];[Teen Movies]
Varsity Blues [1999];[Teen Movies]
Vision Quest [1985];[Teen Movies]
WarGames [1983];[Teen Movies]
Weird Science [1985];[Teen Movies]
What a Girl Wants [2003];[Teen Movies]
What's Eating Gilbert Grape [1993];[Teen Movies]
Wild America [1997];[Teen Movies]
Wild Child [2008];[Teen Movies]
Win a Date with Tad Hamilton! [2004];[Teen Movies]
Youngblood [1986];[Teen Movies]
Zapped Again! [1990];[Teen Movies]
Zapped! [1982];[Teen Movies]
