Gulliver's Travels [2010];[Adventure]
Brazil [1985];[Comedy]/[Dark Comedies]/
Bug [2006];[Comedy]/[Dark Comedies]/
Burn After Reading [2008];[Comedy]/[Dark Comedies]/
C'est arrivé près de chez vous [1992];[Comedy]/[Dark Comedies]/
Choyonghan kajok [1998];[Comedy]/[Dark Comedies]/
Death to Smoochy [2002];[Comedy]/[Dark Comedies]/
Delicatessen [1991];[Comedy]/[Dark Comedies]/
Dogma [1999];[Comedy]/[Dark Comedies]/
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb [1964];[Comedy]/[Dark Comedies]/
Election [1999];[Comedy]/[Dark Comedies]/
Eternal Sunshine of the Spotless Mind [2004];[Comedy]/[Dark Comedies]/
Fargo [1996];[Comedy]/[Dark Comedies]/
Fear and Loathing in Las Vegas [1998];[Comedy]/[Dark Comedies]/
Fido [2006];[Comedy]/[Dark Comedies]/
Flandersui gae [2000];[Comedy]/[Dark Comedies]/
Full Metal Jacket [1987];[Comedy]/[Dark Comedies]/
Ghost World [2001];[Comedy]/[Dark Comedies]/
Goodfellas [1990];[Comedy]/[Dark Comedies]/
Happiness [1998];[Comedy]/[Dark Comedies]/
Harold and Maude [1971];[Comedy]/[Dark Comedies]/
Heathers [1988];[Comedy]/[Dark Comedies]/
Hobo with a Shotgun [2011];[Comedy]/[Dark Comedies]/
Hot Fuzz [2007];[Comedy]/[Dark Comedies]/
In Bruges [2008];[Comedy]/[Dark Comedies]/
Inglourious Basterds [2009];[Comedy]/[Dark Comedies]/
Intolerable Cruelty [2003];[Comedy]/[Dark Comedies]/
Killer Joe [2011];[Comedy]/[Dark Comedies]/
Kind Hearts and Coronets [1949];[Comedy]/[Dark Comedies]/
Lars and the Real Girl [2007];[Comedy]/[Dark Comedies]/
Life of Brian [1979];[Comedy]/[Dark Comedies]/
Man Bites Dog [1992];[Comedy]/[Dark Comedies]/
Monty Python's Life of Brian [1979];[Comedy]/[Dark Comedies]/
Monty Python's The Meaning of Life [1983];[Comedy]/[Dark Comedies]/
Observe and Report [2009];[Comedy]/[Dark Comedies]/
Office Space [1999];[Comedy]/[Dark Comedies]/
Parents [1989];[Comedy]/[Dark Comedies]/
Pulp Fiction [1994];[Comedy]/[Dark Comedies]/
Reservoir Dogs [1992];[Comedy]/[Dark Comedies]/
Rushmore [1998];[Comedy]/[Dark Comedies]/
Seven Psychopaths [2012];[Comedy]/[Dark Comedies]/
Shaun of the Dead [2004];[Comedy]/[Dark Comedies]/
Sightseers [2012];[Comedy]/[Dark Comedies]/
Skeletons [2010];[Comedy]/[Dark Comedies]/
Snatch. [2000];[Comedy]/[Dark Comedies]/
Storytelling [2001];[Comedy]/[Dark Comedies]/
Swimming with Sharks [1994];[Comedy]/[Dark Comedies]/
Tenure [2009];[Comedy]/[Dark Comedies]/
The Big Kahuna [1999];[Comedy]/[Dark Comedies]/
The Cable Guy [1996];[Comedy]/[Dark Comedies]/
The Darjeeling Limited [2007];[Comedy]/[Dark Comedies]/
The Fisher King [1991];[Comedy]/[Dark Comedies]/
The Guard [2011];[Comedy]/[Dark Comedies]/
The Ladykillers [1955];[Comedy]/[Dark Comedies]/
The Life Aquatic with Steve Zissou [2004];[Comedy]/[Dark Comedies]/
The Meaning of Life [1983];[Comedy]/[Dark Comedies]/
The Quiet Family [1998];[Comedy]/[Dark Comedies]/
The Ref [1994];[Comedy]/[Dark Comedies]/
The Royal Tenenbaums [2001];[Comedy]/[Dark Comedies]/
The Savages [2007];[Comedy]/[Dark Comedies]/
The Voices [2014];[Comedy]/[Dark Comedies]/
The Young Poisoner's Handbook [1995];[Comedy]/[Dark Comedies]/
Three Kings [1999];[Comedy]/[Dark Comedies]/
Trainspotting [1996];[Comedy]/[Dark Comedies]/
Twelve Monkeys [1995];[Comedy]/[Dark Comedies]/
Vampire's Kiss [1988];[Comedy]/[Dark Comedies]/
Very Bad Things [1998];[Comedy]/[Dark Comedies]/
Waydowntown [2000];[Comedy]/[Dark Comedies]/
Welcome to the Dollhouse [1995];[Comedy]/[Dark Comedies]/
World's Greatest Dad [2009];[Comedy]/[Dark Comedies]/
Ernest Goes to Africa [1997];[Comedy]/[Ernest P. Worrell]/
Ernest Goes to Camp [1987];[Comedy]/[Ernest P. Worrell]/
Ernest Goes to Jail [1990];[Comedy]/[Ernest P. Worrell]/
Ernest Goes to School [1994];[Comedy]/[Ernest P. Worrell]/
Ernest in the Army [1998];[Comedy]/[Ernest P. Worrell]/
Ernest Rides Again [1993];[Comedy]/[Ernest P. Worrell]/
Ernest Saves Christmas [1988];[Comedy]/[Ernest P. Worrell]/
Ernest Scared Stupid [1991];[Comedy]/[Ernest P. Worrell]/
Knowhutimean? Hey Vern, It's My Family Album [1983];[Comedy]/[Ernest P. Worrell]/
Slam Dunk Ernest [1995];[Comedy]/[Ernest P. Worrell]/
The Ernest Film Festival [1986];[Comedy]/[Ernest P. Worrell]/
Your World as I See It [1994];[Comedy]/[Ernest P. Worrell]/
Adam and Eve [2005];[Comedy]/[National Lampoon]/
After School Special [2003];[Comedy]/[National Lampoon]/
American Adventure [2000];[Comedy]/[National Lampoon]/
Animal House [1978];[Comedy]/[National Lampoon]/
Attack of the 5 Ft. 2 Women [1994];[Comedy]/[National Lampoon]/
Barely Legal [2003];[Comedy]/[National Lampoon]/
Blackball [2003];[Comedy]/[National Lampoon]/
Boobies [2005];[Comedy]/[National Lampoon]/
Cattle Call [2006];[Comedy]/[National Lampoon]/
Class of '86 [1986];[Comedy]/[National Lampoon]/
Class Reunion [1982];[Comedy]/[National Lampoon]/
Dad's Week Off [1997];[Comedy]/[National Lampoon]/
Dirty Movie [2011];[Comedy]/[National Lampoon]/
Dirty Politics [2009];[Comedy]/[National Lampoon]/
Disco Beaver from Outer Space [1978];[Comedy]/[National Lampoon]/
Dorm Daze 2 [2006];[Comedy]/[National Lampoon]/
Dracula's Daughters vs. the Space Brains [2010];[Comedy]/[National Lampoon]/
Electric Apricot [2006];[Comedy]/[National Lampoon]/
Endless Bummer [2009];[Comedy]/[National Lampoon]/
European Vacation [1985];[Comedy]/[National Lampoon]/
Favorite Deadly Sins [1995];[Comedy]/[National Lampoon]/
Frat Chance [2011];[Comedy]/[National Lampoon]/
Going the Distance [2004];[Comedy]/[National Lampoon]/
Golf Punks [1998];[Comedy]/[National Lampoon]/
Gordo's Road Show [2004];[Comedy]/[National Lampoon]/
Hard Four [2007];[Comedy]/[National Lampoon]/
Homo Erectus [2007];[Comedy]/[National Lampoon]/
Jake's Booty Call [2003];[Comedy]/[National Lampoon]/
Joy of Sex [1984];[Comedy]/[National Lampoon]/
Lady Killers [2003];[Comedy]/[National Lampoon]/
Last Resort [1994];[Comedy]/[National Lampoon]/
Lemmings [1973];[Comedy]/[National Lampoon]/
Lost Reality [2004];[Comedy]/[National Lampoon]/
National Lampoon Presents Dorm Daze [2003];[Comedy]/[National Lampoon]/
National Lampoon's Bag Boy [2007];[Comedy]/[National Lampoon]/
National Lampoon's Cattle Call [2006];[Comedy]/[National Lampoon]/
National Lampoon's Christmas Vacation [1989];[Comedy]/[National Lampoon]/
National Lampoon's Christmas Vacation 2: Cousin Eddie's Island Adventure [2003];[Comedy]/[National Lampoon]/
National Lampoon's Class Reunion [1982];[Comedy]/[National Lampoon]/
National Lampoon's Gold Diggers [2003];[Comedy]/[National Lampoon]/
National Lampoon's Loaded Weapon 1 [1993];[Comedy]/[National Lampoon]/
National Lampoon's Lost Reality 2: More of the Worst [2005];[Comedy]/[National Lampoon]/
National Lampoon's Movie Madness [1982];[Comedy]/[National Lampoon]/
National Lampoon's Senior Trip [1995];[Comedy]/[National Lampoon]/
National Lampoon's Stoned Age [2007];[Comedy]/[National Lampoon]/
National Lampoon's Vacation [1983];[Comedy]/[National Lampoon]/
Night of the Little Dead [2011];[Comedy]/[National Lampoon]/
O.C. and Stiggs [1985];[Comedy]/[National Lampoon]/
One, Two, Many [2008];[Comedy]/[National Lampoon]/
Papa craque [1997];[Comedy]/[National Lampoon]/
Pledge This! [2006];[Comedy]/[National Lampoon]/
Professor Pepper's School of Good Stuff [2006];[Comedy]/[National Lampoon]/
Pucked [2006];[Comedy]/[National Lampoon]/
Ratko: The Dictator's Son [2009];[Comedy]/[National Lampoon]/
Repli-Kate [2002];[Comedy]/[National Lampoon]/
RoboDoc [2009];[Comedy]/[National Lampoon]/
Senior Trip [1995];[Comedy]/[National Lampoon]/
Sex Tax: Based on a True Story [2010];[Comedy]/[National Lampoon]/
Snatched [2011];[Comedy]/[National Lampoon]/
Strip Poker [2005];[Comedy]/[National Lampoon]/
Teed Off [2005];[Comedy]/[National Lampoon]/
Teed Off Too [2006];[Comedy]/[National Lampoon]/
Thanksgiving Family Reunion [2003];[Comedy]/[National Lampoon]/
The Almost Guys [2004];[Comedy]/[National Lampoon]/
The Beach Party at the Threshold of Hell [2006];[Comedy]/[National Lampoon]/
The Don's Analyst [1997];[Comedy]/[National Lampoon]/
The Guys [1996];[Comedy]/[National Lampoon]/
The Legend of Awesomest Maximus [2010];[Comedy]/[National Lampoon]/
The Pom Pom Massacre;[Comedy]/[National Lampoon]/
Totally Baked: A Pot-U-Mentary [2007];[Comedy]/[National Lampoon]/
Transylmania [2009];[Comedy]/[National Lampoon]/
True Facts [1992];[Comedy]/[National Lampoon]/
TV: The Movie [2006];[Comedy]/[National Lampoon]/
Van Wilder [2002];[Comedy]/[National Lampoon]/
Van Wilder 2: The Rise of Taj [2006];[Comedy]/[National Lampoon]/
Van Wilder: Freshman Year [2009];[Comedy]/[National Lampoon]/
Vegas Vacation [1997];[Comedy]/[National Lampoon]/
Wannabes [2006];[Comedy]/[National Lampoon]/
2001: A Space Travesty [2000];[Comedy]/[Parodies]/
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo [2013];[Comedy]/[Parodies]/
A Haunted House [2013];[Comedy]/[Parodies]/
A Haunted House 2 [2014];[Comedy]/[Parodies]/
A Man Called Sarge [1990];[Comedy]/[Parodies]/
Abbott and Costello Meet the Invisible Man [1951];[Comedy]/[Parodies]/
Abbott and Costello Meet the Keystone Kops [1955];[Comedy]/[Parodies]/
Airplane II: The Sequel [1982];[Comedy]/[Parodies]/
Airplane! [1980];[Comedy]/[Parodies]/
Amazon Women on the Moon [1987];[Comedy]/[Parodies]/
An American Carol [2008];[Comedy]/[Parodies]/
Another Gay Movie [2006];[Comedy]/[Parodies]/
Another Gay Sequel: Gays Gone Wild! [2008];[Comedy]/[Parodies]/
Austin Powers in Goldmember [2002];[Comedy]/[Parodies]/
Austin Powers: International Man of Mystery [1997];[Comedy]/[Parodies]/
Austin Powers: The Spy Who Shagged Me [1999];[Comedy]/[Parodies]/
Back to the Beach [1987];[Comedy]/[Parodies]/
Beat the Devil [1953];[Comedy]/[Parodies]/
Best in Show [2000];[Comedy]/[Parodies]/
Black Dynamite [2009];[Comedy]/[Parodies]/
Blazing Saddles [1974];[Comedy]/[Parodies]/
Breaking Wind [2011];[Comedy]/[Parodies]/
Bud Abbott Lou Costello Meet Frankenstein [1948];[Comedy]/[Parodies]/
Carry on Cowboy [1966];[Comedy]/[Parodies]/
Carry on Dick [1974];[Comedy]/[Parodies]/
Carry On Don't Lose Your Head [1966];[Comedy]/[Parodies]/
Carry on Emmannuelle [1978];[Comedy]/[Parodies]/
Carry on Henry [1971];[Comedy]/[Parodies]/
Carry on Spying [1964];[Comedy]/[Parodies]/
Carry on Up the Jungle [1970];[Comedy]/[Parodies]/
Casino Royale [1967];[Comedy]/[Parodies]/
CB4 [1993];[Comedy]/[Parodies]/
Dance Flick [2009];[Comedy]/[Parodies]/
Date Movie [2006];[Comedy]/[Parodies]/
Dead Men Don't Wear Plaid [1982];[Comedy]/[Parodies]/
Disaster Movie [2008];[Comedy]/[Parodies]/
Don't Be a Menace to South Central While Drinking Your Juice in the Hood [1996];[Comedy]/[Parodies]/
Dracula: Dead and Loving It [1995];[Comedy]/[Parodies]/
El agente 00-P2 [2009];[Comedy]/[Parodies]/
Epic Movie [2007];[Comedy]/[Parodies]/
Evil Toons [1992];[Comedy]/[Parodies]/
Extreme Movie [2008];[Comedy]/[Parodies]/
Farce of the Penguins [2006];[Comedy]/[Parodies]/
Fatal Instinct [1993];[Comedy]/[Parodies]/
Flesh Gordon [1974];[Comedy]/[Parodies]/
Flesh Gordon 2: Meets the Cosmic Cheerleaders [1990];[Comedy]/[Parodies]/
Freak Out [2004];[Comedy]/[Parodies]/
Galaxina [1980];[Comedy]/[Parodies]/
Galaxy Quest [1999];[Comedy]/[Parodies]/
Hardware Wars [1978];[Comedy]/[Parodies]/
Haunted Honeymoon [1986];[Comedy]/[Parodies]/
High Anxiety [1977];[Comedy]/[Parodies]/
High School High [1996];[Comedy]/[Parodies]/
Hollywood Shuffle [1987];[Comedy]/[Parodies]/
Hot Shots! [1991];[Comedy]/[Parodies]/
Hot Shots! Part Deux [1993];[Comedy]/[Parodies]/
I'm Gonna Git You Sucka [1988];[Comedy]/[Parodies]/
If Looks Could Kill [1991];[Comedy]/[Parodies]/
Il silenzio dei prosciutti [1994];[Comedy]/[Parodies]/
InAPPropriate Comedy [2013];[Comedy]/[Parodies]/
Jane Austen's Mafia! [1998];[Comedy]/[Parodies]/
Johnny Dangerously [1984];[Comedy]/[Parodies]/
Johnny English [2003];[Comedy]/[Parodies]/
Johnny English Reborn [2011];[Comedy]/[Parodies]/
Killer Tomatoes Eat France! [1992];[Comedy]/[Parodies]/
Kung Fu Hustle [2004];[Comedy]/[Parodies]/
Kung Pow: Enter the Fist [2002];[Comedy]/[Parodies]/
Land of the Lost [2009];[Comedy]/[Parodies]/
Leonard Part 6 [1987];[Comedy]/[Parodies]/
Love and Death [1975];[Comedy]/[Parodies]/
MacGruber [2010];[Comedy]/[Parodies]/
Mars Attacks! [1996];[Comedy]/[Parodies]/
Meet the Spartans [2008];[Comedy]/[Parodies]/
Movie 43 [2013];[Comedy]/[Parodies]/
Murder by Death [1976];[Comedy]/[Parodies]/
My Big Fat Independent Movie [2005];[Comedy]/[Parodies]/
Naked Gun 33 1/3: The Final Insult [1994];[Comedy]/[Parodies]/
Not Another Celebrity Movie [2013];[Comedy]/[Parodies]/
Not Another Not Another Movie [2011];[Comedy]/[Parodies]/
Not Another Teen Movie [2001];[Comedy]/[Parodies]/
Paranormal Whacktivity [2012];[Comedy]/[Parodies]/
Parody Movie [2009];[Comedy]/[Parodies]/
Plump Fiction [1997];[Comedy]/[Parodies]/
Queen Kong [1976];[Comedy]/[Parodies]/
Reform School Girls [1986];[Comedy]/[Parodies]/
Repossessed [1990];[Comedy]/[Parodies]/
Return of the Killer Tomatoes! [1988];[Comedy]/[Parodies]/
Ricky 1 [1988];[Comedy]/[Parodies]/
Robin Hood: Men in Tights [1993];[Comedy]/[Parodies]/
Rocky VI [1986];[Comedy]/[Parodies]/
Rustlers' Rhapsody [1985];[Comedy]/[Parodies]/
Scary Movie [2000];[Comedy]/[Parodies]/
Scary MoVie [2013];[Comedy]/[Parodies]/
Scary Movie 2 [2001];[Comedy]/[Parodies]/
Scary Movie 3 [2003];[Comedy]/[Parodies]/
Scary Movie 4 [2006];[Comedy]/[Parodies]/
Scary Movie 5 [2013];[Comedy]/[Parodies]/
Shriek If You Know What I Did Last Friday the 13th [2000];[Comedy]/[Parodies]/
Silent Movie [1976];[Comedy]/[Parodies]/
Spaceballs [1987];[Comedy]/[Parodies]/
Spanish Movie [2009];[Comedy]/[Parodies]/
Spy Hard [1996];[Comedy]/[Parodies]/
Stan Helsing [2009];[Comedy]/[Parodies]/
Student Bodies [1981];[Comedy]/[Parodies]/
Superhero Movie [2008];[Comedy]/[Parodies]/
The 41-Year-Old Virgin Who Knocked Up Sarah Marshall and Felt Superbad About It [2010];[Comedy]/[Parodies]/
The Adventure of Sherlock Holmes' Smarter Brother [1975];[Comedy]/[Parodies]/
The Big Bus [1976];[Comedy]/[Parodies]/
The Cheap Detective [1978];[Comedy]/[Parodies]/
The Comebacks [2007];[Comedy]/[Parodies]/
The Dictator [2012];[Comedy]/[Parodies]/
The Great Race [1965];[Comedy]/[Parodies]/
The Groove Tube [1974];[Comedy]/[Parodies]/
The Kentucky Fried Movie [1977];[Comedy]/[Parodies]/
The Lost Skeleton of Cadavra [2001];[Comedy]/[Parodies]/
The Man with Two Brains [1983];[Comedy]/[Parodies]/
The Naked Gun 2½: The Smell of Fear [1991];[Comedy]/[Parodies]/
The Naked Gun: From the Files of Police Squad! [1988];[Comedy]/[Parodies]/
The Naked Truth [1993];[Comedy]/[Parodies]/
The Onion Movie [2008];[Comedy]/[Parodies]/
The Princess Bride [1987];[Comedy]/[Parodies]/
The Silence of the Hams [1994];[Comedy]/[Parodies]/
The Starving Games [2013];[Comedy]/[Parodies]/
The Underground Comedy Movie [1999];[Comedy]/[Parodies]/
The World's End [2013];[Comedy]/[Parodies]/
This Is Spinal Tap [1984];[Comedy]/[Parodies]/
Top Secret! [1984];[Comedy]/[Parodies]/
UHF [1989];[Comedy]/[Parodies]/
Undercover Brother [2002];[Comedy]/[Parodies]/
Vampires Suck [2010];[Comedy]/[Parodies]/
Walk Hard: The Dewey Cox Story [2007];[Comedy]/[Parodies]/
When Nature Calls [1985];[Comedy]/[Parodies]/
Wholly Moses! [1980];[Comedy]/[Parodies]/
Wrongfully Accused [1998];[Comedy]/[Parodies]/
Young Doctors in Love [1982];[Comedy]/[Parodies]/
Young Frankenstein [1974];[Comedy]/[Parodies]/
100 Girls [2000];[Comedy]/[Sex Comedies]/
17 Again [2009];[Comedy]/[Sex Comedies]/
American Pie [1999];[Comedy]/[Sex Comedies]/
American Pie 2 [2001];[Comedy]/[Sex Comedies]/
American Pie Presents Band Camp [2005];[Comedy]/[Sex Comedies]/
American Pie Presents Beta House [2007];[Comedy]/[Sex Comedies]/
American Pie Presents: The Book of Love [2009];[Comedy]/[Sex Comedies]/
American Pie Presents: The Naked Mile [2006];[Comedy]/[Sex Comedies]/
American Reunion [2012];[Comedy]/[Sex Comedies]/
Bachelor Party 2: The Last Temptation [2008];[Comedy]/[Sex Comedies]/
Bachelor Party Vegas [2006];[Comedy]/[Sex Comedies]/
Boat Trip [2002];[Comedy]/[Sex Comedies]/
EuroTrip [2004];[Comedy]/[Sex Comedies]/
Fired Up! [2009];[Comedy]/[Sex Comedies]/
Good Luck Chuck [2007];[Comedy]/[Sex Comedies]/
Harold & Kumar Go to White Castle [2004];[Comedy]/[Sex Comedies]/
Knocked Up [2007];[Comedy]/[Sex Comedies]/
Road Trip [2000];[Comedy]/[Sex Comedies]/
Superbad [2007];[Comedy]/[Sex Comedies]/
The 40-Year-Old Virgin [2005];[Comedy]/[Sex Comedies]/
The Girl Next Door [2004];[Comedy]/[Sex Comedies]/
The Hangover [2009];[Comedy]/[Sex Comedies]/
What Happens in Vegas [2008];[Comedy]/[Sex Comedies]/
Zack and Miri Make a Porno [2008];[Comedy]/[Sex Comedies]/
Akira [1988];[Horror]/[Body Horror]/
Alien [1979];[Horror]/[Body Horror]/
Alien 3 [1992];[Horror]/[Body Horror]/
Alien: Resurrection [1997];[Horror]/[Body Horror]/
Alien³ [1992];[Horror]/[Body Horror]/
Aliens [1986];[Horror]/[Body Horror]/
Altered States [1980];[Horror]/[Body Horror]/
Bad Biology [2008];[Horror]/[Body Horror]/
Bakjwi [2009];[Horror]/[Body Horror]/
Basket Case 2 [1990];[Horror]/[Body Horror]/
Basket Case 3: The Progeny [1992];[Horror]/[Body Horror]/
Body Bags [1993];[Horror]/[Body Horror]/
Body Melt [1993];[Horror]/[Body Horror]/
Body Snatchers [1993];[Horror]/[Body Horror]/
Brain Damage [1988];[Horror]/[Body Horror]/
Cabin Fever [2002];[Horror]/[Body Horror]/
Creepshow [1982];[Horror]/[Body Horror]/
Cronos [1993];[Horror]/[Body Horror]/
Curse of the Fly [1965];[Horror]/[Body Horror]/
Dans Ma Peau [2002];[Horror]/[Body Horror]/
District 9 [2009];[Horror]/[Body Horror]/
Eraserhead [1977];[Horror]/[Body Horror]/
From Beyond [1986];[Horror]/[Body Horror]/
Grace [2009];[Horror]/[Body Horror]/
Guinea Pig 5: Android of Notre Dame [1989];[Horror]/[Body Horror]/
Guinea Pig 7: Making of 'Guinea Pig' [1986];[Horror]/[Body Horror]/
Guinea Pig 8: Making of 'Devil Woman Doctor' [1986];[Horror]/[Body Horror]/
In My Skin [2002];[Horror]/[Body Horror]/
Invasion of the Body Snatchers [1956];[Horror]/[Body Horror]/
Invasion of the Body Snatchers [1978];[Horror]/[Body Horror]/
It Lives Again [1978];[Horror]/[Body Horror]/
It's Alive [1974];[Horror]/[Body Horror]/
It's Alive [2008];[Horror]/[Body Horror]/
It's Alive 2 [1978];[Horror]/[Body Horror]/
It's Alive III: Island of the Alive [1987];[Horror]/[Body Horror]/
Matango: Attack of the Mushroom People [1963];[Horror]/[Body Horror]/
Mêkingu obu 'Ginî piggu 4' [1986];[Horror]/[Body Horror]/
Mêkingu obu 'Ginî piggu' [1986];[Horror]/[Body Horror]/
Planet Terror [2007];[Horror]/[Body Horror]/
Possession [1981];[Horror]/[Body Horror]/
Rabid [1977];[Horror]/[Body Horror]/
Re-Animator [1985];[Horror]/[Body Horror]/
Return of the Fly [1959];[Horror]/[Body Horror]/
Scanners [1981];[Horror]/[Body Horror]/
Scanners II: The New Order [1991];[Horror]/[Body Horror]/
Scanners III: The Takeover [1992];[Horror]/[Body Horror]/
Shivers [1975];[Horror]/[Body Horror]/
Taxidermia [2006];[Horror]/[Body Horror]/
Tetsuo II: Body Hammer [1992];[Horror]/[Body Horror]/
Tetsuo: The Bullet Man [2009];[Horror]/[Body Horror]/
Tetsuo: The Iron Man [1989];[Horror]/[Body Horror]/
The Brood [1979];[Horror]/[Body Horror]/
The Fly [1958];[Horror]/[Body Horror]/
The Fly [1986];[Horror]/[Body Horror]/
The Fly II [1989];[Horror]/[Body Horror]/
The guinea pig 2: Nôtoru Damu no andoroido [1989];[Horror]/[Body Horror]/
The Human Centipede (First Sequence) [2009];[Horror]/[Body Horror]/
The Incredible Melting Man [1977];[Horror]/[Body Horror]/
The Thing [1982];[Horror]/[Body Horror]/
Thirst [2009];[Horror]/[Body Horror]/
Tokyo Gore Police [2008];[Horror]/[Body Horror]/
Tôkyô zankoku keisatsu [2008];[Horror]/[Body Horror]/
A Corpse Hangs in the Web [1960];[Horror]/[Bug Horror]/
Arachnid [2001];[Horror]/[Bug Horror]/
Arachnophobia [1990];[Horror]/[Bug Horror]/
Beginning of the End [1957];[Horror]/[Bug Horror]/
Black Belly of the Tarantula [1971];[Horror]/[Bug Horror]/
Creepers [1985];[Horror]/[Bug Horror]/
Earth vs. the Spider [1958];[Horror]/[Bug Horror]/
Eight Legged Freaks [2002];[Horror]/[Bug Horror]/
Ein Toter hing im Netz [1960];[Horror]/[Bug Horror]/
Empire of the Ants [1977];[Horror]/[Bug Horror]/
Have Rocket -- Will Travel [1959];[Horror]/[Bug Horror]/
Horrors of Spider Island [1960];[Horror]/[Bug Horror]/
Infested [1993];[Horror]/[Bug Horror]/
Kingdom of the Spiders [1977];[Horror]/[Bug Horror]/
La tarantola dal ventre nero [1971];[Horror]/[Bug Horror]/
Mesa of Lost Women [1953];[Horror]/[Bug Horror]/
Mimic [1997];[Horror]/[Bug Horror]/
Phenomena [1985];[Horror]/[Bug Horror]/
Spiders [2000];[Horror]/[Bug Horror]/
Spiders II: Breeding Ground [2001];[Horror]/[Bug Horror]/
Squirm [1976];[Horror]/[Bug Horror]/
Starship Troopers [1997];[Horror]/[Bug Horror]/
Tarantula [1955];[Horror]/[Bug Horror]/
Tarantulas: The Deadly Cargo [1977];[Horror]/[Bug Horror]/
The Black Scorpion [1957];[Horror]/[Bug Horror]/
The Giant Spider Invasion [1975];[Horror]/[Bug Horror]/
The Nest [1988];[Horror]/[Bug Horror]/
The Thaw [2009];[Horror]/[Bug Horror]/
The Willies [1990];[Horror]/[Bug Horror]/
Ticks [1993];[Horror]/[Bug Horror]/
Creature from the Black Lagoon [1954];[Horror]/[Classic Monsters]/
Frankenstein [1931];[Horror]/[Classic Monsters]/
Gezora, Ganime, Kameba: Kessen! Nankai no daikaijû [1970];[Horror]/[Classic Monsters]/
Godzilla [1954];[Horror]/[Classic Monsters]/
Godzilla [1998];[Horror]/[Classic Monsters]/
Godzilla Against MechaGodzilla [2002];[Horror]/[Classic Monsters]/
Godzilla, King of the Monsters! [1956];[Horror]/[Classic Monsters]/
Gojira [1954];[Horror]/[Classic Monsters]/
Gojira tai Mekagojira [2002];[Horror]/[Classic Monsters]/
Kaijûtô no kessen: Gojira no musuko [1967];[Horror]/[Classic Monsters]/
King Kong [1933];[Horror]/[Classic Monsters]/
King Kong [1976];[Horror]/[Classic Monsters]/
King Kong [2005];[Horror]/[Classic Monsters]/
Son of Godzilla [1967];[Horror]/[Classic Monsters]/
The Monster Squad [1987];[Horror]/[Classic Monsters]/
The Wolf Man [1941];[Horror]/[Classic Monsters]/
Them! [1954];[Horror]/[Classic Monsters]/
Yog: Monster from Space [1970];[Horror]/[Classic Monsters]/
100 Tears [2007];[Horror]/[Clown Horror]/
All Dark Places [2011];[Horror]/[Clown Horror]/
Amusement [2008];[Horror]/[Clown Horror]/
Blood Harvest [1987];[Horror]/[Clown Horror]/
Camp Blood [1999];[Horror]/[Clown Horror]/
Camp Blood 2 [2000];[Horror]/[Clown Horror]/
Closed for the Season [2010];[Horror]/[Clown Horror]/
Clown [2007];[Horror]/[Clown Horror]/
Clownhouse [1989];[Horror]/[Clown Horror]/
Clownstrophobia [2009];[Horror]/[Clown Horror]/
Clownstrophobia Two [2013];[Horror]/[Clown Horror]/
Dahmer vs. Gacy [2011];[Horror]/[Clown Horror]/
Dead Clowns [2003];[Horror]/[Clown Horror]/
Dear Mr. Gacy [2010];[Horror]/[Clown Horror]/
Drive Thru [2007];[Horror]/[Clown Horror]/
Fear of Clowns [2004];[Horror]/[Clown Horror]/
Fear of Clowns 2 [2007];[Horror]/[Clown Horror]/
Final Draft [2007];[Horror]/[Clown Horror]/
Fraternity Massacre at Hell Island [2007];[Horror]/[Clown Horror]/
Funny Man [1994];[Horror]/[Clown Horror]/
Gacy [2003];[Horror]/[Clown Horror]/
Gingerclown [2013];[Horror]/[Clown Horror]/
Hellbreeder [2004];[Horror]/[Clown Horror]/
House of 1000 Corpses [2003];[Horror]/[Clown Horror]/
It [1990];[Horror]/[Clown Horror]/
Jingles the Clown [2009];[Horror]/[Clown Horror]/
Killer Klowns from Outer Space [1988];[Horror]/[Clown Horror]/
Killjoy [2000];[Horror]/[Clown Horror]/
Killjoy 2: Deliverance from Evil [2002];[Horror]/[Clown Horror]/
Killjoy 3 [2010];[Horror]/[Clown Horror]/
Killjoy Goes to Hell [2012];[Horror]/[Clown Horror]/
Klown Kamp Massacre [2010];[Horror]/[Clown Horror]/
Laughter [2012];[Horror]/[Clown Horror]/
Maniacal [2003];[Horror]/[Clown Horror]/
Mr. Jingles [2006];[Horror]/[Clown Horror]/
Night of the Clown [1998];[Horror]/[Clown Horror]/
Prank [2013];[Horror]/[Clown Horror]/
S.I.C.K. Serial Insane Clown Killer [2003];[Horror]/[Clown Horror]/
Scary or Die [2012];[Horror]/[Clown Horror]/
Secrets of the Clown [2007];[Horror]/[Clown Horror]/
Slashers [2001];[Horror]/[Clown Horror]/
Splash Area [2012];[Horror]/[Clown Horror]/
Sssshhh... [2003];[Horror]/[Clown Horror]/
Stitches [2012];[Horror]/[Clown Horror]/
Tales from the Quadead Zone [1987];[Horror]/[Clown Horror]/
The Clown at Midnight [1998];[Horror]/[Clown Horror]/
The Clown Murders [1976];[Horror]/[Clown Horror]/
The Devil's Rejects [2005];[Horror]/[Clown Horror]/
The Fun Park [2007];[Horror]/[Clown Horror]/
